,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
121,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold",,,,
122,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold",41.203323,-77.194527,,
123,Vandalism,2014,1/6/2014,2:37 PM,1/6/2014,2:38 PM,PacifiCorp,Utah,RFC,,,vandalism,39.41922,-111.950684,,
124,Public Appeal due to Severe Weather - Cold,2014,1/6/2014,7:01 AM,1/7/2014,9:00 AM,ERCOT,Texas,TRE,,,"severe weather, cold",31,-100,,
125,Physical Attack,2013,12/30/2013,11:00 AM,12/30/2013,11:01 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
126,Physical Attack,2013,12/30/2013,11:00 AM,1/1/2014,8:00 AM,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",34.048927,-111.093735,,
127,Physical Attack,2013,12/27/2013,9:43 AM,12/27/2013,12:43 PM,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",34.048927,-111.093735,,
128,Severe Weather - Ice/Snow,2013,12/23/2013,3:20 PM,12/25/2013,11:32 AM,Central Maine Power Co,Maine,NPCC,Unknown,"52,500","severe weather, winter storm",45.367584,-68.972168,,
129,Severe Weather - Ice/Snow,2013,12/22/2013,6:16 AM,12/24/2013,11:59 PM,Niagara Mohawk Power Corp.,New York,NPCC,Unknown,"59,000","severe weather, winter storm",43,-75,,
130,Severe Weather - Ice/Snow,2013,12/22/2013,3:28 AM,12/28/2013,11:45 PM,Consumers Energy Co,Michigan,RFC,Unknown,"50,000","severe weather, winter storm",44.182205,-84.506836,,
131,Severe Weather - Ice/Snow,2013,12/22/2013,6:30 AM,12/25/2013,5:12 AM,Detroit Edison Co,Michigan,RFC,350,"140,735","severe weather, winter storm",44.182205,-84.506836,,
132,Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,City of Garland,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",31,-100,,
133,Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",31,-100,,
134,Suspected Physical Attack,2013,12/10/2013,1:01 AM,12/11/2013,1:01 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical",34.048927,-111.093735,,
135,Severe Weather - Ice/Snow,2013,12/9/2013,6:54 AM,12/9/2013,2:22 PM,Dominion Virginia Power,Virginia,SERC,293,"88,000","severe weather, winter storm",37.926868,-78.024902,,
136,Severe Weather - Ice/Snow,2013,12/6/2013,1:51 AM,12/11/2013,12:00 PM,Oncor Electric Delivery Company LLC,Texas,TRE,Unknown,"881,000","severe weather, winter storm",31,-100,,
137,"Physical Attack - Vandalism, Theft",2013,12/6/2013,8:47 AM,12/6/2013,8:49 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
